City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,County,Date
Tyup,42.73,78.36,46.99,52,0,1.77,KG,1602560308
Choix,26.71,-108.32,80.46,56,100,2.59,MX,1602560308
Tilichiki,60.47,166.1,37.33,79,48,2.71,RU,1602560308
Yuncheng,35.02,110.99,56.03,89,100,2.01,CN,1602560308
Le Port,-20.94,55.29,75.2,64,90,12.75,RE,1602560309
Torbay,47.67,-52.73,41.0,86,40,6.93,CA,1602560309
Linguère,15.4,-15.12,81.45,67,100,3.53,SN,1602560309
Curup,-3.47,102.53,86.86,43,79,1.54,ID,1602560309
Ribeira Grande,38.52,-28.7,68.9,72,15,13.76,PT,1602560310
Ambon City,-3.7,128.18,86.0,74,40,5.82,ID,1602560310
Kutum,14.2,24.67,75.34,21,66,7.52,SD,1602560310
São Gabriel da Cachoeira,-0.13,-67.09,73.45,91,29,0.96,BR,1602560158
Quatre Cocos,-20.21,57.76,75.0,83,75,8.05,MU,1602560310
Matagami,49.75,-77.63,51.8,66,75,19.46,CA,1602560311
Port Augusta,-32.5,137.77,87.01,68,0,6.93,AU,1602560311
Magaria,13.0,8.91,82.49,20,0,7.87,NE,1602560311
Cherskiy,68.75,161.3,24.87,87,16,7.7,RU,1602560311
Jupiter,26.93,-80.09,78.01,100,55,4.81,US,1602560312
Puerto Escondido,15.85,-97.07,80.6,65,40,3.22,MX,1602560312
Balkanabat,39.51,54.37,64.72,24,0,17.43,TM,1602560312
Lagoa,39.05,-27.98,68.88,72,18,12.39,PT,1602560312
Ancud,-41.87,-73.82,48.0,93,20,4.7,CL,1602560312
Zanjān,36.67,48.48,42.8,35,0,6.93,IR,1602560224
Vila Velha,-20.33,-40.29,73.0,100,90,3.36,BR,1602560313
Naryan-Mar,67.67,53.09,41.16,94,100,5.37,RU,1602560313
North Bend,43.41,-124.22,57.99,100,1,3.51,US,1602560266
Mēga,4.05,38.3,63.28,87,97,6.6,ET,1602560313
Mount Gambier,-37.83,140.77,62.6,59,75,12.75,AU,1602560230
Nosy Varika,-20.58,48.53,75.85,85,37,6.42,MG,1602560314
Kindu,-2.95,25.95,69.46,98,99,0.98,CD,1602560314
Santa Rosalía,27.32,-112.28,79.41,60,42,1.5,MX,1602560314
Imbituba,-28.24,-48.67,66.2,88,0,6.93,BR,1602560237
Makassar,-5.14,119.42,93.2,49,20,6.93,ID,1602560315
Kirakira,-10.45,161.92,82.17,79,100,12.57,SB,1602560315
São Filipe,14.9,-24.5,77.36,79,5,5.75,CV,1602560315
Verkhoyansk,67.54,133.38,20.32,93,100,4.07,RU,1602560316
Ambilobe,-13.2,49.05,79.02,65,0,5.48,MG,1602560316
Hamilton,39.18,-84.53,55.99,82,90,19.46,US,1602560316
Kaeo,-35.1,173.78,61.29,94,99,7.85,NZ,1602560316
Simpang,-1.27,104.08,89.65,56,100,5.3,ID,1602560317
Krasnoarmiys'k,48.28,37.18,56.01,84,78,8.23,UA,1602560317
Shingū,33.73,135.98,78.8,50,20,16.11,JP,1602560317
Departamento de Maldonado,-34.67,-54.92,55.99,93,90,14.99,UY,1602560317
Klyuchi,52.27,79.17,49.57,62,90,10.22,RU,1602560317
Domna,51.9,113.16,32.0,76,1,11.18,RU,1602560318
Ilinge,-31.98,27.04,53.64,35,35,6.29,ZA,1602560318
Gigmoto,13.78,124.39,86.47,67,75,8.77,PH,1602560318
Khuzhir,53.19,107.34,31.21,77,0,3.11,RU,1602560318
Saint-Pierre,-21.34,55.48,75.2,64,90,3.36,RE,1602560318
Moose Factory,51.26,-80.61,53.6,62,90,12.75,CA,1602560319
Ahipara,-35.17,173.17,61.38,88,77,7.9,NZ,1602560319
San Juan,-31.54,-68.54,62.51,30,0,5.37,AR,1602560319
Sitka,57.05,-135.33,46.4,81,90,6.93,US,1602560319
Koróni,36.8,21.95,68.0,94,75,3.36,GR,1602560319
Tigre,-34.43,-58.58,60.01,87,0,4.7,AR,1602560320
Kortkeros,61.81,51.58,42.8,75,40,6.71,RU,1602560320
Dingle,11.0,122.67,85.59,76,100,8.03,PH,1602560320
Labuan,5.28,115.24,82.4,78,20,2.24,MY,1602560320
Longyearbyen,78.22,15.64,24.8,68,75,3.02,SJ,1602560320
Lorengau,-2.02,147.27,83.68,75,100,3.78,PG,1602560320
Antofagasta,-23.65,-70.4,59.0,77,90,4.7,CL,1602560118
Nyurba,63.28,118.33,26.01,90,54,5.75,RU,1602560321
Natal,-5.79,-35.21,71.6,94,20,3.36,BR,1602560280
Constitución,-35.33,-72.42,54.82,63,0,9.57,CL,1602560140
Koslan,63.46,48.9,41.5,94,58,7.54,RU,1602560321
Nantucket,41.28,-70.1,57.0,84,90,16.11,US,1602560193
Batagay,67.63,134.63,19.4,93,100,3.49,RU,1602560322
Anadyr,64.75,177.48,30.2,80,20,8.95,RU,1602560322
Poum,-20.23,164.02,78.21,79,11,16.46,NC,1602560322
Porto Santo,33.07,-16.34,69.8,77,20,12.75,PT,1602560323
Dhidhdhoo,6.88,73.1,83.19,75,99,23.4,MV,1602560323
San Miguel de Tucumán,-26.82,-65.22,71.6,40,4,5.82,AR,1602560323
Kalmunai,7.42,81.82,88.2,49,32,8.16,LK,1602560323
Kiunga,-6.12,141.29,89.01,65,99,3.8,PG,1602560323
Beringovskiy,63.05,179.32,27.72,93,18,10.31,RU,1602560323
College,64.86,-147.8,32.0,83,75,5.82,US,1602560324
Soyo,-6.13,12.37,74.79,84,99,9.19,AO,1602560324
Dargaville,-35.93,173.88,60.01,86,87,6.71,NZ,1602560324
Taksimo,56.34,114.88,27.34,74,14,6.08,RU,1602560324
Sitrah,26.15,50.62,82.4,45,0,3.76,BH,1602560324
Chokwé,-24.53,32.98,60.78,88,17,3.76,MZ,1602560325
Dodola,6.98,39.18,50.99,84,2,2.1,ET,1602560325
Henties Bay,-22.12,14.28,57.0,85,0,4.0,NA,1602560325
Iquitos,-3.75,-73.25,72.46,87,100,2.48,PE,1602560325
Labytnangi,66.66,66.42,37.87,91,100,7.14,RU,1602560326
Bima,-8.47,118.72,95.68,38,78,3.76,ID,1602560326
Cabedelo,-6.98,-34.83,73.4,94,20,5.82,BR,1602560326
Quelimane,-17.88,36.89,73.4,94,75,4.7,MZ,1602560326
Guilin,25.28,110.29,80.6,54,2,13.42,CN,1602560327
Somotillo,13.04,-86.91,75.88,85,100,2.55,NI,1602560327
Brae,60.4,-1.35,50.0,76,22,24.16,GB,1602560327
Icod de los Vinos,28.37,-16.71,75.2,23,3,9.17,ES,1602560327
Santiago del Estero,-27.8,-64.26,65.07,40,0,6.51,AR,1602560327
Estelle,29.85,-90.11,78.01,100,1,5.82,US,1602560328
Unguía,8.04,-77.09,75.42,92,100,1.32,CO,1602560328
Lesosibirsk,58.24,92.48,33.15,95,100,8.79,RU,1602560328
Yerbogachën,61.28,108.01,28.18,81,100,11.68,RU,1602560328
Altay,47.87,88.12,37.0,76,97,4.05,CN,1602560328
Keelung,25.13,121.74,79.0,94,75,14.99,TW,1602560329
Bereda,43.27,-7.54,60.01,100,100,3.0,ES,1602560329
Najrān,17.49,44.13,60.8,38,13,1.68,SA,1602560329
Esmeralda,21.85,-78.12,77.0,94,82,6.93,CU,1602560329
Itarema,-2.92,-39.92,76.6,84,0,14.09,BR,1602560330
Balabac,7.99,117.06,83.98,77,90,8.19,PH,1602560330
Hasaki,35.73,140.83,79.0,73,75,12.75,JP,1602560330
Barbate,36.19,-5.92,64.4,82,0,10.29,ES,1602560330
Vung Tau,10.35,107.08,80.15,82,100,6.35,VN,1602560309
Klaksvík,62.23,-6.59,44.6,93,52,2.24,FO,1602560331
Kiryat Gat,31.61,34.76,71.01,77,20,3.09,IL,1602560331
Mitú,1.2,-70.17,72.73,91,91,0.85,CO,1602560331
Nishihara,26.18,127.76,84.2,48,75,9.17,JP,1602560332
Houma,29.6,-90.72,75.2,94,40,4.56,US,1602560332
Namie,37.48,141.0,73.0,77,56,1.99,JP,1602560332
Maceió,-9.67,-35.74,71.6,94,40,3.36,BR,1602560332
São Miguel do Araguaia,-13.28,-50.16,78.06,63,7,6.67,BR,1602560332
Touros,-5.2,-35.46,71.6,94,20,3.36,BR,1602560333
Carthage,36.86,10.33,57.2,82,40,5.82,TN,1602560333
El Alto,-4.27,-81.21,62.65,89,7,13.2,PE,1602560333
Morehead,37.27,-87.18,55.4,93,1,5.19,US,1602560333
Machinga,-15.17,35.3,68.54,82,75,2.06,MW,1602560333
Bathsheba,13.22,-59.52,82.4,78,40,12.75,BB,1602560333
Kajaani,64.23,27.73,39.2,100,75,3.36,FI,1602560334
Araouane,18.9,-3.53,88.97,26,46,6.85,ML,1602560334
Lavrentiya,65.58,-171.0,31.39,91,0,10.29,RU,1602560062
Emerald,-23.53,148.17,84.2,32,59,11.41,AU,1602560334
Moura,38.14,-7.45,51.8,62,0,2.24,PT,1602560334
Houston,29.76,-95.36,81.0,50,90,11.41,US,1602560214
La Ronge,55.1,-105.28,35.6,74,90,24.16,CA,1602560335
Tabory,58.52,64.55,42.82,77,100,7.67,RU,1602560335
Kargil,34.57,76.1,42.75,53,0,2.28,IN,1602560335
Greytown,-29.06,30.59,51.03,82,0,4.0,ZA,1602560335
Bodmin,50.47,-4.72,50.0,71,30,20.8,GB,1602560336
Murgab,37.5,61.97,44.6,48,0,4.63,TM,1602560336
Broome,42.25,-75.83,52.0,87,90,14.99,US,1602560336
Kuril'sk,45.23,147.88,58.06,94,100,13.09,RU,1602560336
Rio Grande,-32.03,-52.1,54.95,89,1,10.38,BR,1602560337
Corn Island,12.17,-83.04,83.79,71,93,4.54,NI,1602560337
Nome,64.5,-165.41,35.6,43,1,16.11,US,1602560098
Cedar City,37.68,-113.06,60.8,19,1,5.82,US,1602560236
Palatka,29.65,-81.64,75.0,1,84,1.99,US,1602560337
Foz,43.57,-7.25,59.0,1,100,5.84,ES,1602560338
Sinjār,36.32,41.88,66.04,26,0,1.54,IQ,1602560338
Neuquén,-38.95,-68.06,57.2,71,0,5.48,AR,1602560134
Ginda,30.69,78.49,73.4,83,0,4.29,IN,1602560338
Laramie,41.31,-105.59,53.01,23,1,26.4,US,1602560218
Turukhansk,65.82,87.98,24.03,97,98,14.2,RU,1602560339
Omboué,-1.57,9.26,74.73,89,100,7.72,GA,1602560340
Sechenovo,55.22,45.89,48.56,90,35,5.82,RU,1602560340
Souillac,-20.52,57.52,73.4,83,75,8.05,MU,1602560340
Keta,5.92,0.99,71.6,94,40,2.24,GH,1602560340
Tõrva,58.0,25.93,46.4,87,100,2.24,EE,1602560341
Samarai,-10.62,150.67,81.9,81,43,12.35,PG,1602560341
Alta Floresta,-9.88,-56.09,69.31,92,99,3.62,BR,1602560303
Kupang,-10.17,123.58,93.2,41,20,6.93,ID,1602560341
Matara,5.95,80.54,83.03,75,34,18.45,LK,1602560341
Port Hueneme,34.15,-119.2,71.01,77,1,1.28,US,1602560342
Yangjiang,21.85,111.97,75.04,81,100,23.35,CN,1602560342
Deūlgaon Rāja,20.02,76.03,80.6,83,40,2.24,IN,1602560304
Garoowe,8.41,48.48,77.05,72,33,6.8,SO,1602560343
Tabuk,17.42,121.44,85.86,65,72,4.34,PH,1602560343
Ajdabiya,30.76,20.23,72.63,88,1,15.9,LY,1602560345
Andenes,69.31,16.12,39.2,86,81,10.29,NO,1602560347
Port Macquarie,-31.43,152.92,78.8,47,0,16.11,AU,1602560347
Agadez,19.75,10.25,75.49,19,0,5.77,NE,1602560347
Port Hardy,50.7,-127.42,48.2,93,90,4.7,CA,1602560347
Kemijärvi,66.71,27.43,36.99,91,88,5.46,FI,1602560348
Powell,40.16,-83.08,55.99,93,90,17.22,US,1602560170
Bulungu,-4.55,18.6,70.47,95,100,2.33,CD,1602560348
Ternate,0.8,127.4,80.62,79,98,4.74,ID,1602560349
Aztec,36.82,-107.99,59.0,15,1,3.47,US,1602560349
Xining,36.62,101.77,39.29,82,100,3.65,CN,1602560349
Aksu,41.12,80.26,58.15,32,0,0.58,CN,1602560349
Diamantino,-14.41,-56.45,74.21,75,97,1.77,BR,1602560349
Fayaoué,-20.65,166.53,75.96,84,73,15.9,NC,1602560328
Hengshui,37.73,115.7,73.22,20,0,8.25,CN,1602560350
Palmer,42.16,-72.33,52.0,81,90,9.17,US,1602560350
Båtsfjord,70.63,29.72,37.4,86,75,12.75,NO,1602560350
Kuytun,54.34,101.5,31.46,79,42,7.87,RU,1602560350
Cockburn Town,21.46,-71.14,83.21,78,37,13.62,TC,1602560351
Kavieng,-2.57,150.8,84.06,71,63,4.99,PG,1602560351
Bilma,18.69,12.92,81.25,20,4,5.44,NE,1602560351
Gushi,34.64,109.58,53.22,90,100,3.42,CN,1602560351
Salisbury,51.07,-1.8,44.6,100,2,9.17,GB,1602560165
Asău,46.43,26.4,57.99,99,100,3.96,RO,1602560352
Kumul,42.8,93.45,54.07,38,89,8.55,CN,1602560352
Vygonichi,53.1,34.07,46.4,100,90,6.71,RU,1602560352
Santa Cruz,30.42,-9.6,59.0,93,44,4.7,MA,1602560352
Morros,-9.45,-46.3,75.34,70,6,0.16,BR,1602560352
Chaiyaphum,15.75,102.0,74.53,85,100,0.98,TH,1602560352
Fairlie,55.76,-4.86,43.0,93,45,4.7,GB,1602560353
Marzuq,14.4,46.47,73.67,29,0,0.89,YE,1602560353
Terråk,65.09,12.37,39.2,100,2,1.12,NO,1602560353
Mucurapo,10.67,-61.53,78.01,94,20,6.24,TT,1602560353
Kodār,16.98,79.97,74.59,96,100,15.52,IN,1602560353
Keffi,8.85,7.87,71.6,94,14,2.24,NG,1602560354
Alugan,12.22,125.48,82.47,83,100,10.74,PH,1602560354
Pangody,65.85,74.49,33.76,90,98,6.22,RU,1602560354
Izhma,65.01,53.91,43.72,91,98,6.78,RU,1602560354
Gweta,-20.18,25.23,68.49,67,0,7.74,BW,1602560355
Adrar,20.5,-10.07,83.7,41,81,9.22,MR,1602560355
Fuzhou,26.06,119.31,75.2,69,90,22.37,CN,1602560355
Tromsø,69.65,18.96,35.6,83,60,6.93,NO,1602560331
Pitsunda,43.16,40.34,68.0,71,0,11.18,GE,1602560355
Seddon,-37.81,144.89,62.01,67,90,13.87,AU,1602560355
Clarence Town,-32.58,151.78,87.01,28,0,11.41,AU,1602560356
Ramotswa,-24.87,25.87,57.2,93,75,6.93,BW,1602560356
Contamana,-7.33,-75.02,77.99,59,58,0.74,PE,1602560356
Boende,-0.22,20.87,69.04,98,87,2.53,CD,1602560356
Karratha,-20.74,116.85,97.9,18,0,10.02,AU,1602560356
Concarneau,47.88,-3.92,51.8,87,75,8.05,FR,1602560357
‘Ewa Beach,21.32,-158.01,86.0,55,20,8.05,US,1602560357
Nara,34.69,135.8,78.8,47,20,5.82,JP,1602560080
Gandorhun,7.5,-11.83,73.62,96,100,0.58,SL,1602560357
Saquena,-4.67,-73.52,74.89,83,99,2.62,PE,1602560358
Tomatlán,19.93,-105.25,74.12,93,100,3.67,MX,1602560358
Hambantota,6.12,81.12,87.8,66,40,19.46,LK,1602560358
Qasigiannguit,68.82,-51.19,33.8,69,100,5.82,GL,1602560359
Mormugao,15.4,73.8,78.8,88,75,3.36,IN,1602560359
Olafsvik,64.89,-23.71,44.46,85,38,12.01,IS,1602560359
Marawi,8.0,124.29,77.88,82,100,4.09,PH,1602560359
Southbridge,42.08,-72.03,51.01,92,100,11.39,US,1602560359
Talnakh,69.49,88.4,28.4,92,40,4.47,RU,1602560360
Mala,-12.66,-76.63,63.88,78,4,8.08,PE,1602560360
Taitung City,22.76,121.14,87.8,58,20,11.41,TW,1602560360
Saldanha,-33.01,17.94,57.2,82,46,2.24,ZA,1602560360
Havøysund,71.0,24.66,35.6,80,75,13.87,NO,1602560361
Deputatsky,69.3,139.9,15.48,97,100,3.42,RU,1602560361
Fort Nelson,58.81,-122.7,35.6,88,90,3.36,CA,1602560361
Buala,-8.14,159.59,83.7,77,100,12.3,SB,1602560361
Kānkon,15.02,74.02,78.8,88,75,3.36,IN,1602560361
